i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
113,duration_40th_percentile,2015-03-01,49,0.9847186403440605,23.29248806274586,1,5,5
114,duration_40th_percentile,2015-03-01,51,0.9907022090380985,107.92489980362905,5,6,6
115,duration_40th_percentile,2015-03-01,44,0.9852277345010381,72.55026409787354,4,7,7
116,duration_40th_percentile,2015-03-01,50,0.9927450659509341,50.94193534041938,4,6,6
117,duration_40th_percentile,2015-03-01,44,0.9858661669044091,66.95978637559801,4,6,6
118,duration_40th_percentile,2015-03-01,49,0.9794582682934089,57.48398771246957,4,5,5
119,duration_40th_percentile,2015-03-01,54,0.9778158411335746,48.271692291819136,5,5,5
120,duration_40th_percentile,2015-03-01,55,0.9881492425958525,79.95772619925822,5,4,4
121,duration_40th_percentile,2015-03-01,44,0.9901499746580712,69.6489311603226,3,5,5
122,duration_40th_percentile,2015-03-01,52,0.983661805825833,27.73163648382115,3,5,5
123,duration_40th_percentile,2015-03-01,49,0.9804596905791966,37.7918596516065,2,7,7
124,duration_40th_percentile,2015-03-01,55,0.9868618269018616,46.426180676736976,3,4,4
125,duration_40th_percentile,2015-03-01,45,0.9748930850678849,0.0,0,7,7
126,duration_40th_percentile,2015-03-01,48,0.9864462201412046,103.5479032228385,3,6,6
127,duration_40th_percentile,2015-03-01,42,0.9824599874372062,75.31325315932668,4,7,7
128,duration_40th_percentile,2015-03-01,51,0.9920480134842241,63.65979088637005,4,5,5
129,duration_40th_percentile,2015-03-01,54,0.9840866039191474,43.51718080871353,3,4,4
130,duration_40th_percentile,2015-03-01,51,0.990423364566583,53.99615774161862,3,5,5
131,duration_40th_percentile,2015-03-01,52,0.9896862171052796,104.32331509648964,4,6,6
132,duration_40th_percentile,2015-03-01,42,0.9837664482446916,34.00098016817515,2,7,7
133,duration_40th_percentile,2015-03-01,43,0.9929463430153166,15.583175700255651,2,6,6
134,duration_40th_percentile,2015-03-01,48,0.9905639297754046,59.69179414564303,4,6,6
135,duration_40th_percentile,2015-03-01,52,0.9888070979772443,56.21386604055215,4,6,6
136,duration_40th_percentile,2015-03-01,48,0.9877023878002459,64.06519045478774,3,6,6
137,duration_40th_percentile,2015-03-01,53,0.9864293962876315,99.38319155857243,4,5,5
138,duration_40th_percentile,2015-03-01,46,0.9890800099267993,84.92811367017134,3,7,7
139,duration_40th_percentile,2015-03-01,53,0.9825139143769924,12.019248163558245,2,4,4
140,duration_40th_percentile,2015-03-01,55,0.9910915298047467,55.8635584201603,5,5,5
141,duration_40th_percentile,2015-03-01,52,0.9924718102335933,70.35359669425316,5,5,5
142,duration_40th_percentile,2015-03-01,58,0.9985462032631768,82.62059538442827,5,2,2
143,duration_40th_percentile,2015-03-01,52,0.9903183153969823,104.50270482591043,4,7,7
144,duration_40th_percentile,2015-03-01,44,0.9815473487602181,27.34378904908965,2,7,7
145,duration_40th_percentile,2015-03-01,51,0.9976139239720476,88.81020597577037,6,5,5
146,duration_40th_percentile,2015-03-01,50,0.9857960006928917,48.70816066388841,4,5,5
147,duration_40th_percentile,2015-03-01,48,0.9942945977468923,130.25593072241304,5,6,6
148,duration_40th_percentile,2015-03-01,49,0.9841489210237108,17.117908168673353,2,7,7
149,duration_40th_percentile,2015-03-01,52,0.9680826981692159,48.02899568003875,3,4,4
150,duration_40th_percentile,2015-03-01,46,0.9641656422658349,148.17472710393542,4,5,5
151,duration_40th_percentile,2015-03-01,52,0.9924762577990994,68.76486192660605,4,6,6
152,duration_40th_percentile,2015-03-01,46,0.9952710121362508,56.66737756692578,4,6,6
153,duration_40th_percentile,2015-03-01,50,0.995479283664131,69.73781981514674,5,5,5
154,duration_40th_percentile,2015-03-01,51,0.9937092042330823,62.98061325732999,5,4,4
155,duration_40th_percentile,2015-03-01,50,0.998854801348662,96.09920045252886,6,6,6
156,duration_40th_percentile,2015-03-01,44,0.9805609930014195,95.45453574379553,3,6,6
157,duration_40th_percentile,2015-03-01,53,0.9910231215183769,73.13243920277455,4,6,6
158,duration_40th_percentile,2015-03-01,47,0.982873524447648,36.40610004080986,3,6,6
159,duration_40th_percentile,2015-03-01,53,0.9786105449163254,82.49144048702124,6,4,4
160,duration_40th_percentile,2015-03-01,37,0.9740107707617174,41.90896216725491,2,7,7
161,duration_40th_percentile,2015-03-01,51,0.9845436919325545,80.87400959375964,4,4,4
162,duration_40th_percentile,2015-03-01,45,0.9886894388250391,109.9220500545108,5,6,6
163,duration_40th_percentile,2015-03-01,52,0.9928873805884564,75.3845484446008,5,4,4
164,duration_40th_percentile,2015-03-01,53,0.994565378017568,100.90155877290738,4,5,5
165,duration_40th_percentile,2015-03-01,48,0.9770034686873748,51.76326857774552,3,6,6
166,duration_40th_percentile,2015-03-01,47,0.985511452762948,45.09517050536272,3,6,6
167,duration_40th_percentile,2015-03-01,56,0.9874667125873338,27.142162170549454,3,4,4
168,duration_40th_percentile,2015-03-01,47,0.9896534489361605,76.91178389415165,3,6,6
169,duration_40th_percentile,2015-03-01,50,0.9913784652067381,70.79377789022931,4,7,7
170,duration_40th_percentile,2015-03-01,48,0.9892548595389533,83.00772573505833,4,7,7
171,duration_40th_percentile,2015-03-01,50,1.0,82.92969825280375,7,5,5
