,objective type,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
164,t&p matrix,FALSE,91,81,1,1,34.0952381,38,-0.333333333,21,6,2,0.086956522
165,t&p matrix,FALSE,91,82,0,0,15.7962963,12.7962963,-0.907407407,54,9,3,0.052631579
166,t&p matrix,FALSE,91,83,32,2,23.43181818,18.95454545,4.431818182,44,9,0,0
167,t&p matrix,FALSE,91,84,0,0,22.83333333,18.57142857,10.64285714,42,9,1,0.023255814
168,t&p matrix,FALSE,91,85,6,1,32.33333333,13.12820513,10.76923077,39,9,2,0.048780488
169,t&p matrix,FALSE,91,86,1,1,39.34375,20.46875,3.34375,32,6,0,0
170,t&p matrix,FALSE,91,87,0,0,30.58974359,24.23076923,6.58974359,39,11,1,0.025
171,t&p matrix,FALSE,91,88,0,0,39.10714286,32.96428571,3.607142857,28,8,2,0.066666667
172,t&p matrix,FALSE,91,89,4,1,18.2972973,22.13513514,4.027027027,37,9,4,0.097560976
173,t&p matrix,FALSE,91,90,0,0,34.53846154,19.05128205,9.564102564,39,8,1,0.025
Perfect: ,,,,,12.66666667,0.528735632,27.17628704,11.50702296,3.4798497,38.18390805,7.149425287,0,0
Imperfect: ,,,,,18.25287356,1.229885057,29.42055793,20.15299601,6.71206906,36.77011494,7.149425287,1.67816092,0.043751654
,,,,,,,,,,,,,
Imperfect Cancellation percentage: ,4.364723468,,,,,,,,,,,,
