,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
197,2,t&p matrix,True,True,91,7,0,0,19.272727272727273,33.484848484848484,13.878787878787879,33,6,0,0.0
198,2,t&p matrix,True,True,91,8,0,0,17.25,35.035714285714285,13.821428571428571,28,5,0,0.0
199,2,t&p matrix,True,True,91,9,0,0,26.869565217391305,38.56521739130435,7.695652173913044,23,5,0,0.0
200,2,t&p matrix,True,True,91,10,0,0,30.391304347826086,19.782608695652176,16.043478260869566,46,8,0,0.0
201,2,t&p matrix,True,True,91,11,0,0,42.625,17.15625,10.625,32,8,0,0.0
202,2,t&p matrix,True,True,91,12,0,0,19.428571428571427,25.857142857142858,15.448979591836734,49,7,0,0.0
203,2,t&p matrix,True,True,91,13,0,0,24.29032258064516,19.93548387096774,13.193548387096774,31,5,0,0.0
204,2,t&p matrix,True,True,91,14,0,0,22.5609756097561,22.414634146341463,13.926829268292684,41,7,0,0.0
205,2,t&p matrix,True,True,91,15,0,0,31.470588235294116,8.470588235294118,11.823529411764707,34,6,0,0.0
206,2,t&p matrix,True,True,91,16,0,0,24.973684210526315,17.81578947368421,7.105263157894737,38,6,0,0.0
207,2,t&p matrix,True,True,91,17,0,0,11.324324324324325,19.864864864864863,17.56756756756757,37,7,0,0.0
208,2,t&p matrix,True,True,91,18,0,0,22.227272727272727,20.204545454545453,10.659090909090908,44,7,0,0.0
209,2,t&p matrix,True,True,91,19,0,0,29.96969696969697,12.575757575757576,8.696969696969697,33,7,0,0.0
210,2,t&p matrix,True,True,91,20,0,0,19.27659574468085,20.851063829787233,11.638297872340425,47,7,0,0.0
211,2,t&p matrix,True,True,91,21,0,0,10.170731707317072,20.804878048780488,19.902439024390244,41,8,0,0.0
212,2,t&p matrix,True,True,91,22,0,0,12.545454545454545,23.954545454545453,10.363636363636363,44,7,0,0.0
213,2,t&p matrix,True,True,91,23,0,0,14.23076923076923,19.23076923076923,8.961538461538462,26,5,0,0.0
214,2,t&p matrix,True,True,91,24,0,0,20.78048780487805,17.658536585365855,7.097560975609756,41,7,0,0.0
215,2,t&p matrix,True,True,91,25,0,0,23.444444444444443,13.555555555555555,8.866666666666667,45,8,0,0.0
216,2,t&p matrix,True,True,91,26,0,0,20.83050847457627,15.135593220338983,8.661016949152541,59,9,0,0.0
217,2,t&p matrix,True,True,91,27,0,0,23.94871794871795,18.102564102564102,7.051282051282051,39,8,0,0.0
218,2,t&p matrix,True,True,91,28,0,0,21.162790697674417,12.581395348837209,9.372093023255815,43,6,0,0.0
219,2,t&p matrix,True,True,91,29,0,0,16.0,20.625,7.625,24,5,0,0.0
220,2,t&p matrix,True,True,91,30,0,0,21.06451612903226,13.161290322580646,3.129032258064516,31,6,0,0.0
221,2,t&p matrix,True,True,91,31,0,0,26.9375,24.3125,2.0625,16,5,0,0.0
222,2,t&p matrix,True,True,91,32,0,0,18.76595744680851,18.78723404255319,5.042553191489362,47,7,0,0.0
223,2,t&p matrix,True,True,91,33,0,0,24.318181818181817,7.840909090909091,9.454545454545455,44,7,0,0.0
224,2,t&p matrix,True,True,91,34,0,0,22.951219512195124,15.170731707317072,7.195121951219512,41,6,0,0.0
225,2,t&p matrix,True,True,91,35,0,0,30.61764705882353,8.529411764705882,3.8823529411764706,34,7,0,0.0
226,2,t&p matrix,True,True,91,36,0,0,26.763157894736842,6.368421052631579,12.394736842105264,38,7,0,0.0
227,2,t&p matrix,True,True,91,37,0,0,17.175,6.95,10.575,40,7,0,0.0
228,2,t&p matrix,True,True,91,38,0,0,20.97142857142857,9.314285714285715,7.8,35,7,0,0.0
229,2,t&p matrix,True,True,91,39,0,0,18.5,16.97222222222222,2.4722222222222223,36,9,0,0.0
230,2,t&p matrix,True,True,91,40,0,0,15.421052631578947,18.44736842105263,5.894736842105263,38,7,0,0.0
231,2,t&p matrix,True,True,91,41,0,0,41.18518518518518,7.2592592592592595,3.259259259259259,27,7,0,0.0
232,2,t&p matrix,True,True,91,42,0,0,56.733333333333334,10.133333333333333,0.0,15,5,0,0.0
233,2,t&p matrix,True,True,91,45,0,0,2.75,14.1875,24.0,32,5,0,0.0
234,2,t&p matrix,True,True,91,46,0,0,9.238095238095237,15.547619047619047,12.380952380952381,42,6,0,0.0
235,2,t&p matrix,True,True,91,47,0,0,6.694444444444445,10.277777777777779,6.805555555555555,36,5,0,0.0
236,2,t&p matrix,True,True,91,48,0,0,23.892857142857142,12.071428571428571,2.0,28,5,0,0.0
237,2,t&p matrix,True,True,91,49,0,0,33.4,13.975,4.7,40,8,0,0.0
238,2,t&p matrix,True,True,91,50,0,0,11.229166666666666,11.395833333333334,4.729166666666667,48,8,0,0.0
239,2,t&p matrix,True,True,91,51,0,0,10.487804878048781,17.146341463414632,2.682926829268293,41,10,0,0.0
240,2,t&p matrix,True,False,91,1,1067,46,23.35,39.125,27.7375,80,11,2,0.024390243902439025
